TIME,S,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,Z
0,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.99,21.9,21.8,968.297
5,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.99,21.9,21.8,967.688
10,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.99,21.9,21.8,967.688
15,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,967.688
20,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,967.688
25,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,967.688
30,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,968.297
35,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,968.297
40,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,968.297
45,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,968.297
50,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,968.297
55,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.42,22.895,21.9,21.8,968.297
60,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.3725,22.895,21.9,21.8,967.688
65,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.3725,22.895,21.9,21.8,967.688
70,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.895,21.9,21.8,967.688
75,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.8,967.688
80,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.8,967.688
85,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.8,967.688
90,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.8,967.688
95,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.7,967.688
100,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.8,967.688
105,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.7,967.688
110,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,967.688
115,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.7,967.688
120,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.8,21.7,968.297
125,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.297
130,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.297
135,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.906
140,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.906
145,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.906
150,,23.4,23.2,23.2,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.906
155,,23.4,23.2,23.3,23.3,23.5,23.8,23.2,23.2,25.325,22.799999999999997,21.9,21.7,968.906
