TIME,S,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,Z
0.08333333333333333,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
0.16666666666666666,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.25,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.3333333333333333,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.4166666666666667,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
0.5,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.5833333333333334,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.6666666666666666,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
0.75,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.8333333333333334,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
0.9166666666666666,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.0,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.0833333333333333,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.1666666666666667,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.25,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
1.3333333333333333,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.4166666666666667,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.5,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.1,0.0
1.5833333333333333,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.6666666666666667,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.75,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.8333333333333333,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
1.9166666666666667,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.3,25.1,0.0
2.0,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
2.0833333333333335,0,24.7,24.9,24.9,25.0,25.5,25.7,24.8,24.8,27.9,25.1,25.2,25.2,0.0
