RMSE, R2, EPOCH, BATCH, K-FOLD, TIME_TAKEN
2.465369701385498, 0.9868527000964896, 50, 64, 10, 515.2866139411926
2.1460697650909424, 0.990124415481521, 50, 32, 10, 679.238917350769
2.17677640914917, 0.9895691378145963, 50, 16, 10, 1218.835506439209
1.8868300914764404, 0.9923944198947433, 100, 64, 10, 947.8844103813171
1.9948209524154663, 0.9913483828256744, 100, 64, 10, 946.3432314395905
1.8682829141616821, 0.9921806914800622, 100, 32, 10, 1335.4781880378723
1.8735500574111938, 0.992381442755606, 100, 32, 10, 1325.4281599521637
1.6199157238006592, 0.9943585622078933, 150, 64, 10, 1459.8525667190552
2.001830577850342, 0.9899689686663804, 150, 32, 10, 1959.768854379654
1.6546131372451782, 0.9939310040734517, 150, 16, 10, 5133.790536165237
1.5801019668579102, 0.994616999806258, 200, 64, 10, 2012.673926115036
1.5117727518081665, 0.9950459308611785, 200, 32, 10, 2716.384061574936
1.5075936317443848, 0.995092333593945, 200, 16, 10, 8369.030986070633
