RMSE, R2, EPOCH, BATCH, KFOLD
6.916393280029297, 0.897987138302075, 10, 32, 10
6.169683933258057, 0.91878242749259, 20, 32, 10
5.9058332443237305, 0.9254914423064964, 30, 32, 10
5.377856731414795, 0.9383365431997326, 40, 32, 10
5.26997709274292, 0.9407143036027398, 50, 32, 10
5.414111614227295, 0.9366723206777312, 60, 32, 10
5.197796821594238, 0.9420035230162727, 70, 32, 10
4.894541263580322, 0.9487272836069002, 80, 32, 10
4.908024311065674, 0.9484719322319846, 90, 32, 10
4.75736141204834, 0.9517348005458132, 100, 32, 10
4.834238529205322, 0.9497657182684932, 110, 32, 10
4.618302822113037, 0.9544119410964743, 120, 32, 10
4.39309024810791, 0.9588495983955452, 130, 32, 10
4.318138599395752, 0.9602164208825892, 140, 32, 10
4.359767436981201, 0.9593701535340523, 150, 32, 10
4.369409561157227, 0.9591861799309838, 160, 32, 10
4.220489978790283, 0.9620230877749172, 170, 32, 10
4.263075351715088, 0.9612341327293527, 180, 32, 10
4.236477851867676, 0.9616462480194604, 190, 32, 10
4.182736396789551, 0.9626308539646617, 200, 32, 10
