RMSE, R2, EPOCH, BATCH, KFOLD
3.9379355907440186, 0.9664186111499863, 10, 32, 10
3.17354154586792, 0.9782951399334016, 20, 32, 10
2.76102876663208, 0.9836274032316309, 30, 32, 10
2.57055926322937, 0.985799599539534, 40, 32, 10
2.40075421333313, 0.9876353943659432, 50, 32, 10
2.0535995960235596, 0.990981774369107, 60, 32, 10
2.0681920051574707, 0.990838934613022, 70, 32, 10
2.0865702629089355, 0.9906407366618104, 80, 32, 10
1.8702900409698486, 0.9924816331131717, 90, 32, 10
1.9004364013671875, 0.992241018678446, 100, 32, 10
1.894428014755249, 0.9921895507607278, 110, 32, 10
1.9412651062011719, 0.991852867955517, 120, 32, 10
1.6862274408340454, 0.9939091577258502, 130, 32, 10
1.7109874486923218, 0.9937275664810293, 140, 32, 10
1.7945435047149658, 0.9930424211757855, 150, 32, 10
1.6786377429962158, 0.9939490567081194, 160, 32, 10
1.6390634775161743, 0.9941904379185862, 170, 32, 10
1.6847848892211914, 0.9939269348946468, 180, 32, 10
1.5568538904190063, 0.9948109427621391, 190, 32, 10
1.6391874551773071, 0.9942078149977978, 200, 32, 10
