RMSE, R2, EPOCH, BATCH, KFOLD
7.007637023925781, 0.8952389577083709, 10, 32, 10
6.026327133178711, 0.92251548655505, 20, 32, 10
5.601332187652588, 0.9330691263587563, 30, 32, 10
5.238618850708008, 0.9414899944302626, 40, 32, 10
5.039844036102295, 0.9456999213336577, 50, 32, 10
4.871082305908203, 0.9493648002045878, 60, 32, 10
4.734798431396484, 0.9521724972589933, 70, 32, 10
4.698464393615723, 0.9529056481429137, 80, 32, 10
4.47714900970459, 0.9572762504603751, 90, 32, 10
4.414916038513184, 0.9584381244101415, 100, 32, 10
4.368149757385254, 0.9593119528338834, 110, 32, 10
4.301369667053223, 0.9605321910985039, 120, 32, 10
4.2566680908203125, 0.9613293513378478, 130, 32, 10
4.220623016357422, 0.9620020101181567, 140, 32, 10
4.119474411010742, 0.9638026105269095, 150, 32, 10
4.228741645812988, 0.9617525295438938, 160, 32, 10
4.153570652008057, 0.9631029641035547, 170, 32, 10
3.978221893310547, 0.9662617896067716, 180, 32, 10
3.921868085861206, 0.9672038878437617, 190, 32, 10
3.9104056358337402, 0.9673704703972452, 200, 32, 10
