RMSE, R2, EPOCH, BATCH, KFOLD
3.8936023712158203, 0.9675707256920674, 10, 32, 10
3.215924024581909, 0.9775692996838281, 20, 32, 10
2.819880723953247, 0.9828756072127138, 30, 32, 10
2.3935797214508057, 0.9877091240984655, 40, 32, 10
2.3691420555114746, 0.987764290123254, 50, 32, 10
2.3315138816833496, 0.9877694645876772, 60, 32, 10
2.1207242012023926, 0.9903565827290833, 70, 32, 10
2.0324254035949707, 0.9911096797038264, 80, 32, 10
2.077446699142456, 0.9906977864942881, 90, 32, 10
2.035841703414917, 0.9910327328290982, 100, 32, 10
1.9148342609405518, 0.9919693708951669, 110, 32, 10
2.0400500297546387, 0.9909432619636476, 120, 32, 10
2.031888961791992, 0.9908865575819961, 130, 32, 10
1.79032301902771, 0.9931158213130461, 140, 32, 10
1.909749984741211, 0.9920588875169833, 150, 32, 10
1.7761309146881104, 0.9932217860342197, 160, 32, 10
1.7929614782333374, 0.993101406960124, 170, 32, 10
1.7373965978622437, 0.9935234404161631, 180, 32, 10
1.8088061809539795, 0.9928323907108636, 190, 32, 10
1.6729509830474854, 0.9939466592366053, 200, 32, 10
