RMSE, R2, EPOCH, BATCH, KFOLD
9.635540962219238, 0.8020010590188382, 10, 32, 10
8.278746604919434, 0.8537943778302699, 20, 32, 10
7.937603950500488, 0.8653622308973306, 30, 32, 10
7.2190351486206055, 0.8886908234975757, 40, 32, 10
6.733267784118652, 0.9031773714824292, 50, 32, 10
6.530104160308838, 0.9089925557254738, 60, 32, 10
6.367884635925293, 0.9135069060907561, 70, 32, 10
6.253845691680908, 0.9165280516613004, 80, 32, 10
6.227194786071777, 0.9171345085632989, 90, 32, 10
6.175275802612305, 0.9181962462865728, 100, 32, 10
5.935070514678955, 0.9248854583772654, 110, 32, 10
5.930590629577637, 0.9249334169603731, 120, 32, 10
5.99367094039917, 0.9226618060439604, 130, 32, 10
5.718186378479004, 0.930216270009143, 140, 32, 10
5.867431163787842, 0.9263663613499926, 150, 32, 10
5.620656967163086, 0.93255001785548, 160, 32, 10
5.528003215789795, 0.9347784095833165, 170, 32, 10
5.563215732574463, 0.9337977464302109, 180, 32, 10
5.5179853439331055, 0.9350057051862356, 190, 32, 10
5.524592876434326, 0.9347737267585149, 200, 32, 10
