RMSE, R2, EPOCH, BATCH, K-FOLD, TIME_TAKEN
4.118885040283203, 0.9632347413212266, 10, 16, 10, 245.5452470779419
3.1222262382507324, 0.9781636538990778, 20, 16, 10, 477.2957203388214
2.314190626144409, 0.9885390570888827, 30, 16, 10, 711.0945508480072
2.4372644424438477, 0.9871893219285021, 40, 16, 10, 955.0760767459869
2.2922260761260986, 0.9887104153283699, 50, 16, 10, 1181.6641356945038
2.136324882507324, 0.9901019248624987, 60, 16, 10, 1419.4630281925201
1.925962209701538, 0.9920610525181568, 70, 16, 10, 1666.6475155353546
2.006706476211548, 0.991279980547995, 80, 16, 10, 1902.3534519672394
2.141801595687866, 0.9899384478186807, 90, 16, 10, 2136.3024690151215
1.953263282775879, 0.9917189292211827, 100, 16, 10, 2398.4423315525055
2.1281466484069824, 0.9901375286676488, 110, 16, 10, 2623.4777867794037
2.1333861351013184, 0.9899920628336641, 120, 16, 10, 2863.531158685684
1.8089125156402588, 0.9929603227238155, 130, 16, 10, 3104.2794246673584
