RMSE, R2, EPOCH, BATCH, K-FOLD, TIME_TAKEN
3.7311973571777344, 0.9699734363132452, 10, 16, 10, 242.65543818473816
2.9544522762298584, 0.9812740601036898, 20, 16, 10, 478.2243745326996
2.434753894805908, 0.9872223263663198, 30, 16, 10, 708.4384372234344
2.3179869651794434, 0.988480852834229, 40, 16, 10, 950.1437754631042
2.2876944541931152, 0.9886672158782096, 50, 16, 10, 1203.4796147346497
2.058518886566162, 0.9908166708747966, 60, 16, 10, 1491.7553944587708
2.162794351577759, 0.9898670142224141, 70, 16, 10, 1763.7941446304321
1.9009082317352295, 0.9922287980914062, 80, 16, 10, 2019.7877204418182
1.8961836099624634, 0.9922410440082666, 90, 16, 10, 2496.7053294181824
1.8483701944351196, 0.9925944758817572, 100, 16, 10, 2733.3693840503693
1.7334613800048828, 0.9935483044539855, 110, 16, 10, 3216.7330322265625
1.7546714544296265, 0.9933845148391282, 120, 16, 10, 3898.1786019802094
1.8989683389663696, 0.9912152204362952, 130, 16, 10, 4310.863019227982
1.7117283344268799, 0.993662946252185, 140, 16, 10, 4486.699109315872
