RMSE, R2, EPOCH, BATCH, K-FOLD, TIME_TAKEN
1.9438785314559937, 0.991971384307114, 100, 32, 10, 1088.2349963188171
1.8792988061904907, 0.9926009366476091, 100, 32, 10, 1092.8688039779663
1.8784101009368896, 0.9925300769393368, 100, 32, 10, 1112.2337033748627
1.8643808364868164, 0.9926110894749867, 100, 32, 10, 1136.2766852378845
1.9412235021591187, 0.9920893483882006, 100, 32, 10, 1079.078007698059
1.9775569438934326, 0.9915645929253024, 100, 32, 10, 1103.586693763733
1.8908828496932983, 0.9924544704606142, 100, 32, 10, 1127.4359211921692
1.7950700521469116, 0.9932560857251721, 100, 32, 10, 1150.872507572174
1.873986840248108, 0.9925940337620848, 100, 32, 10, 1087.560947418213
2.2557590007781982, 0.9887876693655879, 100, 32, 10, 1123.9579725265503
1.9360253810882568, 0.9917702520221059, 100, 32, 10, 1144.3474617004395
1.7662099599838257, 0.9934634275681093, 100, 32, 10, 1153.2001802921295
1.9215710163116455, 0.9921974030888479, 100, 32, 10, 1100.7502496242523
1.8533847332000732, 0.9927994615073817, 100, 32, 10, 1142.1978285312653
1.8124611377716064, 0.9930438264074779, 100, 32, 10, 1164.4334630966187
1.8353410959243774, 0.9929155573948723, 100, 32, 10, 1208.2514204978943
1.8772395849227905, 0.9926193343330061, 100, 32, 10, 1124.3836104869843
2.050751209259033, 0.9908987741666199, 100, 32, 10, 1188.8775599002838
1.849256157875061, 0.9927222832853019, 100, 32, 10, 1255.4831998348236
1.8343822956085205, 0.992935046781545, 100, 32, 10, 1327.9641225337982
